Open,High,Low,Close,Adj Close,Volume
748.0,754.1555786132812,748.0,751.7333374023438,614.26953125,1060024
757.7777709960938,760.1777954101562,748.5111083984375,753.066650390625,615.3590698242188,2683989
736.8222045898438,758.6221923828125,736.8222045898438,744.7333374023438,608.5496826171875,3076209
743.977783203125,750.4444580078125,737.7999877929688,741.1555786132812,605.6259765625,2033021
742.4444580078125,754.1555786132812,742.4444580078125,745.8444213867188,609.4574584960938,2940979
751.5555419921875,755.5555419921875,743.6444702148438,745.4666748046875,609.1489868164062,2235555
747.5555419921875,754.1777954101562,739.111083984375,746.3333129882812,609.8569946289062,3121051
742.2222290039062,750.6666870117188,738.5333251953125,743.6444702148438,607.6597290039062,1822801
746.7555541992188,746.7555541992188,734.6666870117188,741.5111083984375,605.91650390625,3908340
744.022216796875,744.022216796875,731.111083984375,733.8666381835938,599.6700439453125,3226792
735.4666748046875,743.5555419921875,728.888916015625,735.4444580078125,600.9592895507812,1598541
737.7777709960938,740.7999877929688,726.9111328125,730.0,596.5103759765625,2303975
733.7777709960938,734.1777954101562,724.6666870117188,727.0888671875,594.1315307617188,2281223
726.5777587890625,728.0,674.7555541992188,677.3777465820312,553.5108032226562,11137290
677.4000244140625,677.4000244140625,638.3777465820312,654.0888671875,534.4805297851562,12968561
654.6666870117188,666.2222290039062,647.111083984375,662.4222412109375,541.2901000976562,3983746
656.8444213867188,661.7777709960938,639.111083984375,648.022216796875,529.5232543945312,5295822
653.3333129882812,660.7111206054688,626.6666870117188,636.2222290039062,519.8812255859375,9322481
633.3333129882812,645.111083984375,622.6666870117188,632.8222045898438,517.102783203125,8075187
642.0888671875,642.0888671875,625.7777709960938,629.888916015625,514.705810546875,5986399
635.5555419921875,639.111083984375,617.7777709960938,620.6221923828125,507.1336975097656,5351231
622.8222045898438,647.5555419921875,617.7777709960938,644.5111083984375,526.654296875,6031122
640.0,647.5111083984375,633.5999755859375,642.1333618164062,524.7113037109375,3639273
628.888916015625,641.1555786132812,617.7333374023438,632.888916015625,517.1572875976562,4964971
640.0,649.7777709960938,628.2222290039062,641.977783203125,524.5841674804688,3517267
644.0,651.04443359375,637.0,649.7111206054688,530.9033203125,3634060
653.7777709960938,656.4444580078125,636.0,638.3110961914062,521.5879516601562,2548539
640.4444580078125,648.888916015625,640.4444580078125,643.5999755859375,525.9097290039062,1173273
648.0,648.3110961914062,632.888916015625,636.9111328125,520.4439086914062,1660459
628.6221923828125,650.2222290039062,626.6666870117188,642.5333251953125,525.0380859375,1971357
649.0,659.5555419921875,648.4000244140625,655.2444458007812,535.4248657226562,1994555
659.3555297851562,659.3555297851562,650.2222290039062,656.111083984375,536.1329345703125,1557193
653.2444458007812,664.0,641.4666748046875,657.0888671875,536.9320678710938,2128083
662.2222290039062,667.5111083984375,656.7555541992188,662.9111328125,541.6896362304688,1523517
660.0,664.3777465820312,651.3555297851562,662.04443359375,540.9813842773438,2109415
660.0,673.7777709960938,653.7777709960938,667.1777954101562,545.176025390625,3990600
671.111083984375,685.7777709960938,668.2444458007812,682.4888916015625,557.6873168945312,5460808
682.2222290039062,703.5555419921875,679.5555419921875,695.2444458007812,568.1103515625,4210276
723.8666381835938,723.8666381835938,698.2222290039062,704.6221923828125,575.773193359375,2401391
702.3333129882812,706.6666870117188,696.2222290039062,701.4000244140625,573.140380859375,1871334
699.9111328125,707.7111206054688,694.4000244140625,706.2444458007812,577.0988159179688,1820173
708.0,717.7333374023438,703.2666625976562,705.5555419921875,576.5359497070312,2443961
713.3333129882812,717.6444702148438,706.2222290039062,712.5333251953125,582.23779296875,2874874
713.7777709960938,717.888916015625,703.4000244140625,706.1777954101562,577.0444946289062,2392031
706.2222290039062,711.111083984375,696.1333618164062,700.5111083984375,572.4139404296875,1706316
701.5555419921875,704.4000244140625,693.5777587890625,698.933349609375,571.1246948242188,1944045
700.111083984375,704.3333129882812,691.8666381835938,695.4444580078125,568.2738037109375,3276096
695.111083984375,701.977783203125,685.7777709960938,690.5777587890625,564.2969970703125,2918470
691.111083984375,715.7999877929688,689.8666381835938,710.7555541992188,580.7850952148438,2171043
711.7111206054688,724.8444213867188,707.4000244140625,723.0888671875,590.8630981445312,3615536
721.7777709960938,726.6666870117188,711.5555419921875,718.1333618164062,586.8138427734375,2314122
718.2666625976562,724.4000244140625,713.5777587890625,720.5777587890625,588.811279296875,2263830
715.5555419921875,721.3555297851562,705.1333618164062,717.4888916015625,586.287109375,2033208
720.0,722.6666870117188,712.2666625976562,717.8444213867188,586.57763671875,1728180
717.3333129882812,734.1333618164062,711.111083984375,729.5777587890625,596.1653442382812,3721788
728.4444580078125,733.1777954101562,723.4444580078125,725.7333374023438,593.02392578125,1978742
728.3555297851562,742.2222290039062,722.2666625976562,739.5333251953125,604.3004150390625,2884736
742.2222290039062,742.2222290039062,722.9111328125,727.6889038085938,594.621826171875,1500988
728.4444580078125,731.111083984375,718.3333129882812,724.8222045898438,592.279541015625,3110625
729.8222045898438,736.2222290039062,725.3555297851562,733.6444702148438,599.4884033203125,1565478
736.5555419921875,737.3333129882812,728.022216796875,731.7111206054688,597.9085693359375,1798537
733.3333129882812,738.5999755859375,727.5555419921875,734.2444458007812,599.9786987304688,3518421
735.5555419921875,737.3333129882812,729.4666748046875,731.5555419921875,597.781494140625,3612735
730.977783203125,732.3555297851562,718.5333251953125,722.6221923828125,590.4817504882812,2082294
723.111083984375,733.3333129882812,718.3333129882812,729.2222290039062,595.8748779296875,2930469
731.111083984375,731.111083984375,709.7777709960938,713.5111083984375,583.0366821289062,3428640
