Open,High,Low,Close,Adj Close,Volume
540.4273071289062,540.4273071289062,506.1274108886719,532.7005004882812,482.8123779296875,35372156
569.5512084960938,569.5512084960938,527.6979370117188,530.3230590820312,480.65765380859375,9872785
534.8798828125,542.111328125,530.2982788085938,538.891845703125,488.4239807128906,10933743
538.891845703125,552.2650756835938,533.9387817382812,547.8320922851562,496.5268859863281,12090336
548.7979736328125,551.6707153320312,542.8543090820312,546.3956909179688,495.2251281738281,6973331
562.0225830078125,569.4521484375,520.0702514648438,535.67236328125,485.5060729980469,87061779
542.3590087890625,563.3103637695312,533.4434814453125,537.083984375,486.7853698730469,15132815
538.891845703125,540.873046875,529.2828979492188,539.1890258789062,488.6932678222656,7088719
537.9012451171875,557.1190795898438,537.9012451171875,555.5836181640625,503.552490234375,11327803
557.6143798828125,564.1028442382812,547.3367919921875,550.1600341796875,498.6369323730469,8660790
548.3026123046875,552.9832763671875,540.8483276367188,544.5878295898438,493.58648681640625,6540464
544.8355102539062,547.8320922851562,536.241943359375,537.4059448242188,487.07720947265625,6029341
542.3590087890625,543.3991088867188,530.9669799804688,533.691162109375,483.7103576660156,8921264
532.452880859375,533.4434814453125,520.194091796875,522.0762329101562,473.18310546875,8589121
515.6124877929688,530.4716796875,509.91650390625,521.9771728515625,473.0933837890625,18399797
519.8969116210938,522.2495727539062,513.4827270507812,516.132568359375,467.796142578125,6180995
512.1453857421875,520.0702514648438,505.2110900878906,508.9506530761719,461.2868347167969,11465264
515.1171875,518.3119506835938,507.6876220703125,513.70556640625,465.5964050292969,15332621
511.60052490234375,520.9617919921875,504.27001953125,518.1881103515625,469.6591491699219,10768195
513.8789672851562,522.5467529296875,512.9130859375,517.7918701171875,469.3000793457031,5599315
521.0608520507812,523.2154541015625,507.2418518066406,508.82684326171875,461.174560546875,7960410
510.708984375,519.2777709960938,510.708984375,512.12060546875,464.1598815917969,6946618
514.1265869140625,514.1265869140625,502.2392578125,504.79010009765625,457.515869140625,5526277
482.92236328125,499.14361572265625,482.92236328125,486.2409362792969,440.70391845703125,13790942
487.87542724609375,497.4595947265625,482.92236328125,492.50653076171875,446.3826599121094,11950507
492.2093505859375,494.31439208984375,486.7362365722656,491.9617004394531,445.8889465332031,6595770
495.2554626464844,495.2554626464844,486.3895263671875,487.9249572753906,442.2302551269531,8427562
489.98046875,505.1120300292969,489.6090087890625,502.8088684082031,455.72021484375,10822218
508.6782531738281,508.6782531738281,499.0693359375,500.258056640625,453.4082336425781,6229609
500.3075866699219,505.7064208984375,497.7815246582031,504.0966796875,456.88739013671875,4646498
507.6876220703125,514.0275268554688,506.2264709472656,511.42718505859375,463.5314025878906,7213298
510.1641540527344,514.2999267578125,492.8284912109375,494.21533203125,447.9315490722656,9153440
492.8284912109375,492.8284912109375,483.9872741699219,486.98388671875,441.37725830078125,8193714
492.9770812988281,495.30499267578125,480.44586181640625,484.3835144042969,439.0204162597656,5857376
482.42706298828125,486.88482666015625,480.44586181640625,483.0957336425781,437.8531494140625,5988853
480.44586181640625,488.2221374511719,478.7865905761719,484.8045349121094,439.4020080566406,5763020
485.44842529296875,487.87542724609375,475.0718078613281,477.02825927734375,432.3539733886719,8747297
479.9505615234375,492.8284912109375,478.5884704589844,484.87884521484375,439.4693603515625,10420312
487.87542724609375,494.8096923828125,485.1017150878906,486.98388671875,441.37725830078125,8404187
489.361328125,509.1735534667969,489.361328125,507.58856201171875,460.05230712890625,12286956
515.1171875,515.1171875,499.2674560546875,502.2392578125,455.2039794921875,9590528
506.20172119140625,508.18292236328125,497.8310546875,500.15899658203125,453.3185119628906,5433932
505.80548095703125,508.6782531738281,496.2956237792969,497.33575439453125,450.7596740722656,5510907
498.52447509765625,501.14959716796875,489.3861083984375,490.5252990722656,444.5870361328125,8057566
492.8284912109375,504.666259765625,490.0052490234375,499.638916015625,452.8471374511719,11448507
500.258056640625,505.2110900878906,498.7721252441406,503.4527587890625,456.3037414550781,6730408
502.7345886230469,511.6500549316406,502.2392578125,506.00360107421875,458.6157531738281,10306792
506.20172119140625,511.1300048828125,501.7934875488281,509.19830322265625,461.51123046875,8367777
511.1547546386719,530.867919921875,509.6688537597656,528.9609985351562,479.4231872558594,15690402
532.3538208007812,536.1676635742188,527.8960571289062,529.8277587890625,480.208740234375,9968152
531.9575805664062,535.7218627929688,527.0540771484375,533.418701171875,483.46343994140625,7057451
534.3350219726562,543.1019287109375,530.0506591796875,540.8978271484375,490.2420349121094,9108967
526.013916015625,544.3402099609375,526.013916015625,531.9328002929688,482.1166076660156,9446201
533.9140014648438,541.8389282226562,533.418701171875,540.5758666992188,489.95025634765625,9232555
542.8543090820312,543.349609375,533.6416015625,540.6006469726562,489.9726867675781,10599676
543.349609375,550.2838745117188,542.4332885742188,545.0584106445312,494.0130310058594,8341847
546.6681518554688,549.7637939453125,540.3777465820312,541.5169677734375,490.8033142089844,9345272
542.8543090820312,547.6587524414062,536.4153442382812,538.9661254882812,488.49127197265625,8740250
541.31884765625,542.3590087890625,530.6202392578125,532.0814208984375,482.2512512207031,9990413
533.9387817382812,544.092529296875,533.4434814453125,540.8978271484375,490.2420349121094,5777967
543.1019287109375,559.5213012695312,543.1019287109375,557.6638793945312,505.43798828125,9189816
558.7040405273438,561.1805419921875,554.8406372070312,556.3265991210938,504.2258605957031,5760365
557.2181396484375,569.4521484375,556.2770385742188,559.5460815429688,507.1439208984375,9330868
561.1805419921875,562.9141235351562,545.5784912109375,548.0797729492188,496.7514343261719,6794859
